"","name","type","min","max","unique"
"week_num","week_num","integer","   1","        53","  12"
"avg_price","avg_price","numeric","   0","    150393"," 139"
"min_price","min_price","numeric","   0","    112010"," 139"
"max_price","max_price","numeric","   0","    181007"," 139"
"occupied","occupied","integer","   0","         8","   7"
"host_is_superhost","host_is_superhost","factor","  NA","        NA","  NA"
"host_listings_count","host_listings_count","integer","  NA","        NA","   1"
"host_total_listings_count","host_total_listings_count","integer","  NA","        NA","   1"
"host_identity_verified","host_identity_verified","factor","  NA","        NA","  NA"
"neighbourhood_cleansed","neighbourhood_cleansed","factor","  NA","        NA","  NA"
"zipcode","zipcode","factor","  NA","        NA","  NA"
"latitude","latitude","numeric","  38","        38","  38"
"longitude","longitude","numeric","-123","      -122","-122"
"is_location_exact","is_location_exact","factor","  NA","        NA","  NA"
"property_type","property_type","factor","  NA","        NA","  NA"
"room_type","room_type","factor","  NA","        NA","  NA"
"accommodates","accommodates","integer","   0","        16","   2"
"bathrooms","bathrooms","numeric","  NA","        NA","   1"
"bedrooms","bedrooms","integer","  NA","        NA","   1"
"beds","beds","integer","  NA","        NA","   1"
"bed_type","bed_type","factor","  NA","        NA","  NA"
"price","price","numeric","   0","     30000"," 129"
"weekly_price","weekly_price","numeric","   0","     12500","   0"
"monthly_price","monthly_price","numeric","   0","     60000","   0"
"security_deposit","security_deposit","numeric","   0","      5150","   0"
"cleaning_fee","cleaning_fee","numeric","   0","      3000","   0"
"guests_included","guests_included","integer","   0","        30","   1"
"extra_people","extra_people","numeric","   0","       300","   0"
"minimum_nights","minimum_nights","integer","   1"," 100000000","   3"
"maximum_nights","maximum_nights","integer","   1","2147483647","  26"
"number_of_reviews","number_of_reviews","integer","   0","       771","  37"
"review_scores_rating","review_scores_rating","integer","  NA","        NA"," 100"
"review_scores_accuracy","review_scores_accuracy","integer","  NA","        NA","  10"
"review_scores_cleanliness","review_scores_cleanliness","integer","  NA","        NA","  10"
"review_scores_checkin","review_scores_checkin","integer","  NA","        NA","  10"
"review_scores_communication","review_scores_communication","integer","  NA","        NA","  10"
"review_scores_location","review_scores_location","integer","  NA","        NA","  10"
"review_scores_value","review_scores_value","integer","  NA","        NA","  10"
"instant_bookable","instant_bookable","factor","  NA","        NA","  NA"
"cancellation_policy","cancellation_policy","factor","  NA","        NA","  NA"
"require_guest_profile_picture","require_guest_profile_picture","factor","  NA","        NA","  NA"
"require_guest_phone_verification","require_guest_phone_verification","factor","  NA","        NA","  NA"
"calculated_host_listings_count","calculated_host_listings_count","integer","   1","       257","   1"
"reviews_per_month","reviews_per_month","numeric","  NA","        NA","   6"
"host_seniority","host_seniority","integer","   0","       120","   4"
"occupied_cat","occupied_cat","factor","  NA","        NA","  NA"
"occupied_cat.num","occupied_cat.num","numeric","   0","         2","   2"
